"Wavelength, µm",n,k
0.38137857,2.306282,0
0.382551,2.304493,0
0.38373065,2.302715,0
0.38491763,2.300948,0
0.38611197,2.299193,0
0.38731372,2.297448,0
0.38852301,2.295715,0
0.38973981,2.293993,0
0.39096433,2.292282,0
0.3921965,2.290581,0
0.39343649,2.288892,0
0.39468436,2.287212,0
0.39594016,2.285544,0
0.39720398,2.283886,0
0.39847589,2.282238,0
0.39975598,2.280601,0
0.40104434,2.278974,0
0.402341,2.277357,0
0.40364606,2.275751,0
0.40495966,2.274154,0
0.4062818,2.272568,0
0.40761261,2.270991,0
0.40895221,2.269425,0
0.4103006,2.267868,0
0.4116579,2.266321,0
0.41302423,2.264783,0
0.41439966,2.263255,0
0.41578427,2.261737,0
0.41717816,2.260228,0
0.41858145,2.258728,0
0.4199942,2.257238,0
0.4214165,2.255757,0
0.42284848,2.254286,0
0.42429022,2.252823,0
0.42574185,2.251369,0
0.42720343,2.249925,0
0.42867511,2.24849,0
0.43015692,2.247063,0
0.43164902,2.245645,0
0.43315152,2.244236,0
0.43466449,2.242836,0
0.43618814,2.241445,0
0.43772241,2.240062,0
0.43926758,2.238688,0
0.44082367,2.237322,0
0.44239081,2.235965,0
0.44396918,2.234616,0
0.44555884,2.233275,0
0.44715991,2.231943,0
0.44877246,2.230619,0
0.45039679,2.229303,0
0.45203287,2.227995,0
0.45368091,2.226696,0
0.45534097,2.225404,0
0.45701325,2.224121,0
0.45869785,2.222845,0
0.46039493,2.221577,0
0.46210458,2.220318,0
0.463827,2.219066,0
0.46556235,2.217821,0
0.4673107,2.216585,0
0.46907221,2.215356,0
0.47084708,2.214134,0
0.47263541,2.212921,0
0.47443735,2.211715,0
0.47625311,2.210516,0
0.47808283,2.209325,0
0.47992667,2.208141,0
0.48178476,2.206964,0
0.48365729,2.205795,0
0.48554443,2.204633,0
0.48744638,2.203478,0
0.48936328,2.202331,0
0.49129535,2.20119,0
0.49324268,2.200057,0
0.49520557,2.198931,0
0.49718408,2.197812,0
0.49917853,2.196699,0
0.50118903,2.195594,0
0.50321573,2.194496,0
0.50525894,2.193404,0
0.50731879,2.19232,0
0.50939551,2.191242,0
0.51148932,2.190171,0
0.5136004,2.189106,0
0.51572894,2.188048,0
0.51787531,2.186997,0
0.52003949,2.185953,0
0.52222192,2.184915,0
0.52442267,2.183884,0
0.52664209,2.182859,0
0.52888037,2.18184,0
0.53113776,2.180828,0
0.53341449,2.179823,0
0.53571082,2.178823,0
0.53802704,2.177831,0
0.5403634,2.176844,0
0.54272009,2.175864,0
0.54509741,2.17489,0
0.54749573,2.173922,0
0.54991516,2.17296,0
0.55235608,2.172005,0
0.55481879,2.171055,0
0.55730359,2.170112,0
0.55981067,2.169175,0
0.56234045,2.168243,0
0.56489319,2.167318,0
0.5674693,2.166399,0
0.57006891,2.165485,0
0.57269238,2.164578,0
0.57534021,2.163676,0
0.57801263,2.16278,0
0.58071002,2.16189,0
0.58343268,2.161006,0
0.58618097,2.160128,0
0.58895526,2.159255,0
0.59175598,2.158388,0
0.59458344,2.157527,0
0.59743811,2.156671,0
0.60032025,2.155821,0
0.60323035,2.154977,0
0.60616882,2.154138,0
0.60913605,2.153304,0
0.61213245,2.152477,0
0.61515851,2.151654,0
0.6182146,2.150837,0
0.62130121,2.150026,0
0.62441882,2.14922,0
0.62756787,2.148419,0
0.63074884,2.147624,0
0.63396222,2.146834,0
0.6372085,2.14605,0
0.64048822,2.145271,0
0.64380188,2.144497,0
0.64714996,2.143728,0
0.65053308,2.142965,0
0.65395172,2.142206,0
0.65740656,2.141453,0
0.66089801,2.140705,0
0.66442682,2.139962,0
0.66799347,2.139225,0
0.67159863,2.138492,0
0.67524292,2.137765,0
0.67892694,2.137043,0
0.68265137,2.136325,0
0.68641693,2.135613,0
0.69022424,2.134906,0
0.6940741,2.134203,0
0.6979671,2.133506,0
0.70190399,2.132813,0
0.70588556,2.132126,0
0.70991254,2.131443,0
0.71398578,2.130765,0
0.71810602,2.130092,0
0.72227405,2.129424,0
0.72649072,2.128761,0
0.73075696,2.128103,0
0.73507361,2.127449,0
0.73944153,2.1268,0
0.74386169,2.126156,0
0.74833508,2.125516,0
0.75286255,2.124882,0
0.75744513,2.124251,0
0.7620838,2.123626,0
0.76677966,2.123005,0
0.77153375,2.122389,0
0.77634711,2.121778,0
0.78122101,2.121171,0
0.78615643,2.120569,0
0.79115466,2.119971,0
0.7962168,2.119378,0
0.80134412,2.118789,0
0.80653796,2.118205,0
0.8117995,2.117625,0
0.81713013,2.11705,0
0.82253125,2.11648,0
0.82800427,2.115914,0
0.83355066,2.115352,0
0.83917188,2.114795,0
0.84486932,2.114242,0
0.85064471,2.113693,0
0.85649963,2.113149,0
0.86243567,2.11261,0
0.86845447,2.112075,0
0.87455792,2.111543,0
0.88074786,2.111017,0
0.887026,2.110495,0
0.89339423,2.109977,0
